Overall Rank,Name,Position,Team,Bye,Position Rank,Tier
1,Josh Allen,QB,BUF,7,1,1
2,Lamar Jackson,QB,BAL,7,2,1
3,Jayden Daniels,QB,WAS,12,3,1
4,Jalen Hurts,QB,PHI,9,4,1
5,Joe Burrow,QB,CIN,10,5,2
6,Patrick Mahomes II,QB,KC,10,6,2
7,Saquon Barkley,RB,PHI,9,1,2
8,Ja'Marr Chase,WR,CIN,10,1,2
9,Baker Mayfield,QB,TB,9,7,3
10,Bijan Robinson,RB,ATL,5,2,3
11,Justin Jefferson,WR,MIN,6,2,3
12,Bo Nix,QB,DEN,12,8,3
13,CeeDee Lamb,WR,DAL,10,3,3
14,Jahmyr Gibbs,RB,DET,8,3,3
15,Kyler Murray,QB,ARI,8,9,3
16,Puka Nacua,WR,LAR,8,4,4
17,Derrick Henry,RB,BAL,7,4,4
18,Nico Collins,WR,HOU,6,5,4
19,Brock Purdy,QB,SF,14,10,4
20,Malik Nabers,WR,NYG,14,6,4
21,Brian Thomas Jr.,WR,JAC,8,7,4
22,Justin Fields,QB,NYJ,9,11,4
23,Caleb Williams,QB,CHI,5,12,4
24,Dak Prescott,QB,DAL,10,13,4
25,Ashton Jeanty,RB,LV,8,5,4
26,Justin Herbert,QB,LAC,12,14,4
27,Amon-Ra St. Brown,WR,DET,8,8,4
28,Jared Goff,QB,DET,8,15,5
29,Christian McCaffrey,RB,SF,14,6,5
30,Jonathan Taylor,RB,IND,11,7,5
31,A.J. Brown,WR,PHI,9,9,5
32,Josh Jacobs,RB,GB,5,8,5
33,De'Von Achane,RB,MIA,12,9,5
34,George Kittle,TE,SF,14,1,5
35,Drake Maye,QB,NE,14,16,5
36,Drake London,WR,ATL,5,10,5
37,Jordan Love,QB,GB,5,17,5
38,Brock Bowers,TE,LV,8,2,5
39,Ladd McConkey,WR,LAC,12,11,5
40,Kyren Williams,RB,LAR,8,10,6
41,Trevor Lawrence,QB,JAC,8,18,6
42,Bucky Irving,RB,TB,9,11,6
43,C.J. Stroud,QB,HOU,6,19,6
44,Tee Higgins,WR,CIN,10,12,6
45,Mike Evans,WR,TB,9,13,6
46,James Cook,RB,BUF,7,12,6
47,Chase Brown,RB,CIN,10,13,6
48,Davante Adams,WR,LAR,8,14,6
49,Tyreek Hill,WR,MIA,12,15,6
50,Trey McBride,TE,ARI,8,3,6
51,J.J. McCarthy,QB,MIN,6,20,6
52,Jaxon Smith-Njigba,WR,SEA,8,16,6
53,Terry McLaurin,WR,WAS,12,17,6
54,Garrett Wilson,WR,NYJ,9,18,6
55,Breece Hall,RB,NYJ,9,14,6
56,Matthew Stafford,QB,LAR,8,21,7
57,Marvin Harrison Jr.,WR,ARI,8,19,7
