Rank,Team,Name,Position,Games,ADP,Bye,SOS,InjuryRisk,Floor Proj,Consensus Proj,DS Proj,CeilingProj,Value
72,WAS,Deebo Samuel,WR,17,7.09,12,-3%,87%,150.5,155,179,206.1,26.2
73,TB,Chris Godwin,WR,17,7.06,9,11%,74%,131,159,175,223.6,26.2
74,MIN,T.J. Hockenson,TE,17,6.04,6,9%,40%,130.2,136,145,185.2,26
75,DET,Brian Branch,DB,17,,8,-62%,0%,101.6,96,135,169.4,26
76,CLE,David Njoku,TE,17,8.11,9,-5%,51%,124.2,138,148,180.4,25.8
77,LVR,Jakobi Meyers,WR,17,9.09,8,-6%,67%,151.6,160,178,190.8,24.7
78,SF,Jauan Jennings,WR,17,9.03,14,-11%,14%,150.5,159,167,214.1,24.7
79,GB,Jayden Reed,WR,17,9.07,5,-10%,83%,151.4,148,172,209.9,24.6
80,MIN,Jordan Addison,WR,17,8.02,6,17%,70%,146.4,146,165,225.4,24.4
81,DEN,RJ Harvey,RB,17,5.09,12,-1%,0%,127.1,159,176,241.8,24.3
82,CHI,Rome Odunze,WR,17,7.08,5,-17%,61%,146.2,151,159,233.7,24.2
83,TB,Antoine Winfield Jr.,DB,17,,9,-20%,0%,96.1,125,128,171.8,23.4
84,CLE,Jerry Jeudy,WR,17,7.12,9,11%,45%,145.2,166,163,207.3,23.2
85,ARI,Budda Baker,DB,17,,8,-14%,38%,99.1,120,130,163,22.8
86,BAL,Roquan Smith,LB,17,,7,-81%,20%,122.5,157,146,175,22.7
87,WAS,Brian Robinson Jr.,RB,17,6.11,12,2%,46%,143.4,158,173,212.4,22.5
88,DAL,Micah Parsons,DL,17,,10,29%,0%,88.1,109,104,129.6,22.3
89,BUF,Khalil Shakir,WR,17,9.08,7,5%,30%,145.2,148,171,193.1,22.1
90,PIT,Kaleb Johnson,RB,17,6.05,5,-6%,0%,118.2,156,166,239.7,22.1
91,SF,Ricky Pearsall,WR,17,10.07,14,-11%,0%,129.9,137,148,233.3,19.7
92,GB,Tucker Kraft,TE,17,10.08,5,6%,26%,112.7,124,136,160.3,19.3
93,BUF,Dalton Kincaid,TE,17,11.01,7,-9%,52%,108.9,112,134,173.5,19
94,KC,Patrick Mahomes,QB,17,5.11,10,-1%,11%,292.7,318,333,365.9,18.8
95,DET,Aidan Hutchinson,DL,17,,8,-62%,0%,83.3,95,99,124,18.7
96,CHI,Kevin Byard,DB,17,,5,21%,0%,90.9,115,126,151.6,18.5
97,LAC,Daiyan Henley,LB,17,,12,-31%,0%,110.9,83,139,173.3,18.3
98,NE,Stefon Diggs,WR,17,8.06,14,-3%,32%,117.9,142,153,214.4,18
99,BAL,Kyle Hamilton,DB,17,,7,-81%,75%,95.7,119,120,155.6,17.8
100,HOU,Will Anderson Jr.,DL,17,,6,11%,0%,78.1,88,98,123,17.7
101,PHI,Zack Baun,LB,17,,9,-26%,0%,109.3,84,137,175,17.6
102,PIT,Jaylen Warren,RB,17,8.07,5,-6%,49%,123.3,147,162,189.8,17.4
103,PHI,Dallas Goedert,TE,17,11.06,9,-24%,76%,111.7,119,130,157.2,17.2
104,IND,Nick Cross,DB,17,,11,12%,0%,99,67,118,153.2,17.1
105,IND,Tyler Warren,TE,17,10.11,11,37%,0%,95,109,125,182.5,17
106,IND,Josh Downs,WR,17,10.12,11,3%,58%,132.9,135,151,200.8,16.7
107,LAC,Derwin James,DB,17,,12,-31%,66%,88.2,131,116,162.6,16.7
108,DAL,Jake Ferguson,TE,17,9.02,10,-16%,41%,104.9,119,134,146.6,16.4
109,DEN,Evan Engram,TE,17,7.11,12,-15%,33%,98.8,117,127,159.6,15.9
110,GB,Edgerrin Cooper,LB,17,,5,-39%,0%,107.2,70,134,174.1,15.9
111,ATL,Darnell Mooney,WR,17,11.1,5,14%,85%,132.5,141,151,186.8,15.6
112,IND,Michael Pittman Jr.,WR,17,10.05,11,3%,70%,134.3,136,146,197.1,15.4
113,JAC,Travis Etienne,RB,17,8.03,8,22%,40%,114.6,128,151,202.1,15.1
114,BUF,Keon Coleman,WR,17,11.12,7,5%,38%,122.8,134,141,211.7,14.8
115,NO,Rashid Shaheed,WR,17,13.11,11,1%,66%,129.2,138,145,196,14.8
116,GB,Matthew Golden,WR,17,10.1,5,-10%,0%,111.9,141,142,211.1,14.8
117,MIN,Jordan Mason,RB,17,8.1,6,-16%,14%,121.7,113,140,222.5,14.7
118,MIN,Andrew Van Ginkel,DL,17,,6,-7%,0%,73.1,74,97,113,14.6
119,NYG,Cameron Skattebo,RB,17,8.05,14,12%,0%,93.1,130,153,196.9,14.2
120,CHI,Jaquan Brisker,DB,17,,5,21%,0%,79.6,115,114,153.6,13.5
121,SEA,Cooper Kupp,WR,17,8.12,8,0%,54%,122.1,139,137,201.7,13.2
122,CLE,Quinshon Judkins,RB,17,7.01,9,-12%,0%,72.7,143,145,216.6,13.2
123,CLE,Myles Garrett,DL,17,,9,100%,0%,73.8,103,90,117.1,13
124,NYG,Tyrone Tracy Jr.,RB,17,7.04,14,12%,0%,96.7,141,144,187.6,12.8
