Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,Value
1,Saquon Barkley,RB,PHI,9,1,2,1889
2,Ja'Marr Chase,WR,CIN,10,1,2,1823
3,Bijan Robinson,RB,ATL,5,2,2,1759
4,Justin Jefferson,WR,MIN,6,2,3,1699
5,CeeDee Lamb,WR,DAL,10,3,3,1642
6,Jahmyr Gibbs,RB,DET,8,3,3,1587
7,Puka Nacua,WR,LAR,8,4,3,1535
8,Derrick Henry,RB,BAL,7,4,3,1485
9,Nico Collins,WR,HOU,6,5,4,1438
10,Malik Nabers,WR,NYG,14,6,4,1393
11,Brian Thomas Jr.,WR,JAC,8,7,4,1351
12,Ashton Jeanty,RB,LV,8,5,4,1310
13,Amon-Ra St. Brown,WR,DET,8,8,4,1272
14,Christian McCaffrey,RB,SF,14,6,4,1235
15,Jonathan Taylor,RB,IND,11,7,4,1200
16,A.J. Brown,WR,PHI,9,9,5,1167
17,De'Von Achane,RB,MIA,12,8,5,1135
18,Josh Jacobs,RB,GB,5,9,5,1105
19,George Kittle,TE,SF,14,1,5,1076
20,Drake London,WR,ATL,5,10,5,1049
21,Brock Bowers,TE,LV,8,2,5,1023
22,Ladd McConkey,WR,LAC,12,11,5,998
23,Bucky Irving,RB,TB,9,10,5,975
24,Kyren Williams,RB,LAR,8,11,5,952
25,Tee Higgins,WR,CIN,10,12,6,931
26,Mike Evans,WR,TB,9,13,6,910
27,Chase Brown,RB,CIN,10,12,6,890
28,James Cook,RB,BUF,7,13,6,872
29,Tyreek Hill,WR,MIA,12,14,6,853
30,Davante Adams,WR,LAR,8,15,6,836
31,Trey McBride,TE,ARI,8,3,6,820
32,Josh Allen,QB,BUF,7,1,1,804
33,Lamar Jackson,QB,BAL,7,2,1,788
34,Jaxon Smith-Njigba,WR,SEA,8,16,6,773
35,Jayden Daniels,QB,WAS,12,3,1,759
36,Terry McLaurin,WR,WAS,12,17,6,745
37,Breece Hall,RB,NYJ,9,14,6,732
38,Jalen Hurts,QB,PHI,9,4,1,719
39,Garrett Wilson,WR,NYJ,9,18,6,707
40,Joe Burrow,QB,CIN,10,5,1,694
41,Patrick Mahomes II,QB,KC,10,6,2,682
42,Marvin Harrison Jr.,WR,ARI,8,19,6,671
43,Kenneth Walker III,RB,SEA,8,15,6,660
44,Chuba Hubbard,RB,CAR,14,16,7,648
45,Baker Mayfield,QB,TB,9,7,2,638
46,Bo Nix,QB,DEN,12,8,3,627
47,DK Metcalf,WR,PIT,5,20,7,616
48,James Conner,RB,ARI,8,17,7,606
49,Alvin Kamara,RB,NO,11,18,7,596
50,Kyler Murray,QB,ARI,8,9,3,586
51,Omarion Hampton,RB,LAC,12,19,7,576
52,Jameson Williams,WR,DET,8,21,7,566
53,Courtland Sutton,WR,DEN,12,22,7,557
54,DJ Moore,WR,CHI,5,23,7,547
55,Brock Purdy,QB,SF,14,10,4,538
56,Zay Flowers,WR,BAL,7,24,7,528
57,Joe Mixon,RB,HOU,6,20,7,519
58,David Montgomery,RB,DET,8,21,7,510
59,Dak Prescott,QB,DAL,10,11,4,500
60,Xavier Worthy,WR,KC,10,25,7,491
61,Caleb Williams,QB,CHI,5,12,4,482
62,Rashee Rice,WR,KC,10,26,7,473
63,Justin Fields,QB,NYJ,9,13,4,464
64,DeVonta Smith,WR,PHI,9,27,7,455
65,Justin Herbert,QB,LAC,12,14,4,446
66,Sam LaPorta,TE,DET,8,4,7,437
67,D'Andre Swift,RB,CHI,5,22,8,428
68,Calvin Ridley,WR,TEN,10,28,8,419
69,Jared Goff,QB,DET,8,15,4,410
70,TreVeyon Henderson,RB,NE,14,23,8,402
71,George Pickens,WR,DAL,10,29,8,393
72,Drake Maye,QB,NE,14,16,5,384
73,RJ Harvey,RB,DEN,12,24,8,375
74,Kaleb Johnson,RB,PIT,5,25,8,367
75,Aaron Jones Sr.,RB,MIN,6,26,8,358
76,Tetairoa McMillan,WR,CAR,14,30,8,350
77,Jordan Love,QB,GB,5,17,5,341
78,Jaylen Waddle,WR,MIA,12,31,8,333
79,Tony Pollard,RB,TEN,10,27,8,325
80,Isiah Pacheco,RB,KC,10,28,8,316
81,Mark Andrews,TE,BAL,7,5,8,308
82,Brian Robinson Jr.,RB,WAS,12,29,8,300
83,Trevor Lawrence,QB,JAC,8,18,5,292
84,Travis Hunter,WR,JAC,8,32,8,284
85,C.J. Stroud,QB,HOU,6,19,6,276
86,T.J. Hockenson,TE,MIN,6,6,8,268
87,Jordan Addison,WR,MIN,6,33,8,261
88,Chris Olave,WR,NO,11,34,8,253
89,Rome Odunze,WR,CHI,5,35,8,246
90,Jerry Jeudy,WR,CLE,9,36,8,239
91,Chris Godwin,WR,TB,9,37,9,231
92,J.J. McCarthy,QB,MIN,6,20,6,224
93,Jayden Reed,WR,GB,5,38,9,217
94,Tyrone Tracy Jr.,RB,NYG,14,30,9,211
95,Travis Kelce,TE,KC,10,7,9,204
96,Jauan Jennings,WR,SF,14,39,9,197
97,Quinshon Judkins,RB,CLE,9,31,9,191
98,Travis Etienne Jr.,RB,JAC,8,32,9,185
99,Matthew Stafford,QB,LAR,8,21,6,179
100,Tucker Kraft,TE,GB,5,8,9,173
101,Najee Harris,RB,LAC,12,33,9,167
102,Tua Tagovailoa,QB,MIA,12,22,7,161
103,David Njoku,TE,CLE,9,9,9,156
104,Deebo Samuel Sr.,WR,WAS,12,40,9,151
105,Jordan Mason,RB,MIN,6,34,9,146
106,Bryce Young,QB,CAR,14,23,7,141
107,Jaylen Warren,RB,PIT,5,35,9,136
108,Evan Engram,TE,DEN,12,10,9,131
109,Jakobi Meyers,WR,LV,8,41,9,127
110,Ricky Pearsall,WR,SF,14,42,9,122
111,Javonte Williams,RB,DAL,10,36,9,118
112,Rhamondre Stevenson,RB,NE,14,37,9,114
113,Khalil Shakir,WR,BUF,7,43,9,111
114,Cam Skattebo,RB,NYG,14,38,9,107
115,Michael Penix Jr.,QB,ATL,5,24,7,103
116,Geno Smith,QB,LV,8,25,7,100
117,Zach Charbonnet,RB,SEA,8,39,9,97
118,Stefon Diggs,WR,NE,14,44,9,94
119,Josh Downs,WR,IND,11,45,9,91
120,Dalton Kincaid,TE,BUF,7,11,9,88
121,Tank Bigsby,RB,JAC,8,40,9,86
122,Brandon Aiyuk,WR,SF,14,46,9,83
123,Tyler Warren,TE,IND,11,12,9,81
124,Darnell Mooney,WR,ATL,5,47,9,79
125,Tyjae Spears,RB,TEN,10,41,10,77
